時間戳, 單元, 步驟, 行動, 描述,,
2024-05-28 08:00:00, 單元三,1. 前言引導, 開始, 學生開始前言引導部分。,,
2024-05-28 08:02:00, 單元三,1. 前言引導, 互動, 學生閱讀完前言後點選“下一句對話”按鈕。,,
2024-05-28 08:03:00, 單元三,2. 進入植物工廠, 開始, 學生開始進入植物工廠部分。,,
2024-05-28 08:05:00, 單元三,2. 進入植物工廠, 互動, 學生回答「現在是白天還是夜晚？」的問題，選擇了“夜晚”。,,
2024-05-28 08:06:00, 單元三,2. 進入植物工廠, 互動, 學生閱讀完夜晚解釋後點選“下一句對話”按鈕。,,
2024-05-28 08:07:00, 單元三,3. 觀察及了解：夜間水分輸送, 開始, 學生開始觀察夜間水分輸送部分。,,
2024-05-28 08:09:00, 單元三,3. 觀察及了解：夜間水分輸送, 觀察, 學生觀察到夜間水分輸送速度緩慢。,,
2024-05-28 08:10:00, 單元三,3. 觀察及了解：夜間水分輸送, 互動, 學生點選了“工廠啟動按鈕”。,,
2024-05-28 08:12:00, 單元三,4. 觀察及了解：日間水分輸送, 開始, 學生開始觀察日間水分輸送部分。,,
2024-05-28 08:13:00, 單元三,4. 觀察及了解：日間水分輸送, 互動, 學生回答「現在是白天還是夜晚？」的問題，選擇了“白天”。,,
2024-05-28 08:14:00, 單元三,4. 觀察及了解：日間水分輸送, 觀察, 學生觀察到日間水分輸送速度較快。,,
2024-05-28 08:16:00, 單元三,5. 單元總結, 開始, 學生開始單元總結部分。,,
2024-05-28 08:18:00, 單元三,5. 單元總結, 結束, 學生完成單元並準備探索不同部門。,,
